,demand_PNG,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,Hydro_B,Geothermal_B
t1842,569.0946,89171.45,0,89171.45,0,0.080891877,77.07089996,115000,10958.9
t1843,615.3481,0,0,0,0,0.081565753,0,115000,10958.9
t1844,720.0938,0,0,0,0,0.077048235,73.38155365,115000,10958.9
t1845,728.9523,0,0,0,0,0.072530717,104.9021606,115000,10958.9
t1846,695.7722,0,0,0,0,0.069298677,71.7069397,115000,10958.9
t1847,660.2362,0,69.96087,0,69.96087,0.069389507,0,115000,10958.9
t1848,617.9401,0,126.1018,0,126.1018,0.069480345,0,115000,10958.9
t1849,588.7372,0,143.2799,0,143.2799,0.069571175,0,115000,10958.9
t1850,573.8436,0,179.453,0,179.453,0.069895513,0,115000,10958.9
t1851,555.4159,0,193.7496,0,193.7496,0.070219845,0,115000,10958.9
t1852,556.729,0,97.24073,0,97.24073,0.070544183,0,115000,10958.9
t1853,560.3489,0,263.4248,0,263.4248,0.07090573,0,115000,10958.9
t1854,572.7304,0,106.4742,0,106.4742,0.071267284,0,115000,10958.9
t1855,603.9414,113376.7,164.8407,113376.7,164.8407,0.071628831,0,115000,10958.9
t1856,612.9319,486648.8,199.5753,486648.8,199.5753,0.072028063,78.13623047,115000,10958.9
t1857,660.8896,665746.2,304.1127,665746.2,304.1127,0.072427303,270.0107422,115000,10958.9
t1858,691.7253,675080,210.7322,675080,210.7322,0.072826535,317.8705139,115000,10958.9
t1859,698.1662,1291212,101.8055,1291212,101.8055,0.073226258,346.5476379,115000,10958.9
t1860,676.0262,1180470,251.3002,1180470,251.3002,0.073625974,475.056488,115000,10958.9
t1861,673.8124,1318646,545.6611,1318646,545.6611,0.074223883,685.5609131,115000,10958.9
t1862,747.2388,844268.8,150.8219,844268.8,150.8219,0.075056076,728.8803711,115000,10958.9
t1863,759.024,688873.6,152.8506,688873.6,152.8506,0.075888261,476.5013123,115000,10958.9
t1864,767.0323,575648.6,0,575648.6,0,0.076720454,246.0897522,115000,10958.9
t1865,735.7922,327610.6,40.8364,327610.6,40.8364,0.077849612,46.3509903,115000,10958.9
t1866,695.5786,146770,36.98871,146770,36.98871,0.078978769,0,115000,10958.9
t1867,721.1154,0,0,0,0,0.080107927,0,115000,10958.9
t1868,848.1719,0,0,0,0,0.080880396,0,115000,10958.9
t1869,846.7115,0,0,0,0,0.081652857,41.26916885,115000,10958.9
