,demand_R1,PV_B_R1,WindOnshore_B_R1,PV_N_R1,WindOnshore_N_R1,Wave_N_R1,WindOffshore_N_R1,demand_R2,PV_B_R2,WindOnshore_B_R2,PV_N_R2,WindOnshore_N_R2,Wave_N_R2,WindOffshore_N_R2,demand_R3,PV_B_R3,WindOnshore_B_R3,PV_N_R3,WindOnshore_N_R3,Wave_N_R3,WindOffshore_N_R3,demand_R4,PV_B_R4,WindOnshore_B_R4,PV_N_R4,WindOnshore_N_R4,Wave_N_R4,WindOffshore_N_R4
t0089,10.15085,2191.296,4212.511,2191.296,4212.511,221.8692452,2918.229736,10.15085,2191.296,4212.511,2191.296,4212.511,221.8692452,2918.229736,10.15085,2191.296,4212.511,2191.296,4212.511,221.8692452,2918.229736,10.15085,2191.296,4212.511,2191.296,4212.511,221.8692452,2918.229736
t0090,10.07188,1153.4,780.7386,1153.4,780.7386,219.0897912,2246.628906,10.07188,1153.4,780.7386,1153.4,780.7386,219.0897912,2246.628906,10.07188,1153.4,780.7386,1153.4,780.7386,219.0897912,2246.628906,10.07188,1153.4,780.7386,1153.4,780.7386,219.0897912,2246.628906
t0091,10.0503,336.0896,364.7511,336.0896,364.7511,216.0928547,2139.726563,10.0503,336.0896,364.7511,336.0896,364.7511,216.0928547,2139.726563,10.0503,336.0896,364.7511,336.0896,364.7511,216.0928547,2139.726563,10.0503,336.0896,364.7511,336.0896,364.7511,216.0928547,2139.726563
t0092,11.04241,0,1035.674,0,1035.674,214.0515596,2621.993408,11.04241,0,1035.674,0,1035.674,214.0515596,2621.993408,11.04241,0,1035.674,0,1035.674,214.0515596,2621.993408,11.04241,0,1035.674,0,1035.674,214.0515596,2621.993408
t0093,12.73213,0,266.8371,0,266.8371,212.0596319,2475.868408,12.73213,0,266.8371,0,266.8371,212.0596319,2475.868408,12.73213,0,266.8371,0,266.8371,212.0596319,2475.868408,12.73213,0,266.8371,0,266.8371,212.0596319,2475.868408
t0094,12.28089,0,207.8262,0,207.8262,210.0676894,2767.785156,12.28089,0,207.8262,0,207.8262,210.0676894,2767.785156,12.28089,0,207.8262,0,207.8262,210.0676894,2767.785156,12.28089,0,207.8262,0,207.8262,210.0676894,2767.785156
t0095,11.25591,0,0,0,0,210.5749696,2633.861572,11.25591,0,0,0,0,210.5749696,2633.861572,11.25591,0,0,0,0,210.5749696,2633.861572,11.25591,0,0,0,0,210.5749696,2633.861572
t0096,10.25142,0,0,0,0,211.082235,2410.828857,10.25142,0,0,0,0,211.082235,2410.828857,10.25142,0,0,0,0,211.082235,2410.828857,10.25142,0,0,0,0,211.082235,2410.828857
t0097,9.619157,0,0,0,0,211.5895003,1795.698364,9.619157,0,0,0,0,211.5895003,1795.698364,9.619157,0,0,0,0,211.5895003,1795.698364,9.619157,0,0,0,0,211.5895003,1795.698364
t0098,9.218762,0,0,0,0,210.4253471,1396.523682,9.218762,0,0,0,0,210.4253471,1396.523682,9.218762,0,0,0,0,210.4253471,1396.523682,9.218762,0,0,0,0,210.4253471,1396.523682
t0099,9.139382,0,0,0,0,209.2612088,857.2841797,9.139382,0,0,0,0,209.2612088,857.2841797,9.139382,0,0,0,0,209.2612088,857.2841797,9.139382,0,0,0,0,209.2612088,857.2841797
t0100,9.06655,0,166.2741,0,166.2741,208.0970556,262.157074,9.06655,0,166.2741,0,166.2741,208.0970556,262.157074,9.06655,0,166.2741,0,166.2741,208.0970556,262.157074,9.06655,0,166.2741,0,166.2741,208.0970556,262.157074
t0101,9.259765,0,633.6426,0,633.6426,207.0384026,0,9.259765,0,633.6426,0,633.6426,207.0384026,0,9.259765,0,633.6426,0,633.6426,207.0384026,0,9.259765,0,633.6426,0,633.6426,207.0384026,0
t0102,9.1617,0,373.7967,0,373.7967,205.9797645,0,9.1617,0,373.7967,0,373.7967,205.9797645,0,9.1617,0,373.7967,0,373.7967,205.9797645,0,9.1617,0,373.7967,0,373.7967,205.9797645,0
