,demand_R1,PV_B_R1,WindOnshore_B_R1,PV_N_R1,WindOnshore_N_R1,Wave_N_R1,WindOffshore_N_R1,demand_R2,PV_B_R2,WindOnshore_B_R2,PV_N_R2,WindOnshore_N_R2,Wave_N_R2,WindOffshore_N_R2,demand_R3,PV_B_R3,WindOnshore_B_R3,PV_N_R3,WindOnshore_N_R3,Wave_N_R3,WindOffshore_N_R3,demand_R4,PV_B_R4,WindOnshore_B_R4,PV_N_R4,WindOnshore_N_R4,Wave_N_R4,WindOffshore_N_R4
t3829,8.121941,1514.674,4500,1514.674,4500,457.1401179,673.9713745,8.121941,1514.674,4500,1514.674,4500,457.1401179,673.9713745,8.121941,1514.674,4500,1514.674,4500,457.1401179,673.9713745,8.121941,1514.674,4500,1514.674,4500,457.1401179,673.9713745
t3830,8.508194,958.1931,4500,958.1931,4500,468.4662819,554.9249878,8.508194,958.1931,4500,958.1931,4500,468.4662819,554.9249878,8.508194,958.1931,4500,958.1931,4500,468.4662819,554.9249878,8.508194,958.1931,4500,958.1931,4500,468.4662819,554.9249878
t3831,8.322606,1519.982,4500,1519.982,4500,479.3974459,527.7854004,8.322606,1519.982,4500,1519.982,4500,479.3974459,527.7854004,8.322606,1519.982,4500,1519.982,4500,479.3974459,527.7854004,8.322606,1519.982,4500,1519.982,4500,479.3974459,527.7854004
t3832,8.31484,688.2381,0,688.2381,0,490.3286397,499.4506226,8.31484,688.2381,0,688.2381,0,490.3286397,499.4506226,8.31484,688.2381,0,688.2381,0,490.3286397,499.4506226,8.31484,688.2381,0,688.2381,0,490.3286397,499.4506226
t3833,8.511983,663.0641,4500,663.0641,4500,498.36725,481.2099915,8.511983,663.0641,4500,663.0641,4500,498.36725,481.2099915,8.511983,663.0641,4500,663.0641,4500,498.36725,481.2099915,8.511983,663.0641,4500,663.0641,4500,498.36725,481.2099915
t3834,8.483662,895.4607,4500,895.4607,4500,498.1191158,514.4719238,8.483662,895.4607,4500,895.4607,4500,498.1191158,514.4719238,8.483662,895.4607,4500,895.4607,4500,498.1191158,514.4719238,8.483662,895.4607,4500,895.4607,4500,498.1191158,514.4719238
t3835,9.843515,0,4500,0,4500,499.0698397,513.1557007,9.843515,0,4500,0,4500,499.0698397,513.1557007,9.843515,0,4500,0,4500,499.0698397,513.1557007,9.843515,0,4500,0,4500,499.0698397,513.1557007
t3836,10.25421,0,4500,0,4500,500,509.835144,10.25421,0,4500,0,4500,500,509.835144,10.25421,0,4500,0,4500,500,509.835144,10.25421,0,4500,0,4500,500,509.835144
t3837,9.77412,0,1933.783,0,1933.783,500,531.0899658,9.77412,0,1933.783,0,1933.783,500,531.0899658,9.77412,0,1933.783,0,1933.783,500,531.0899658,9.77412,0,1933.783,0,1933.783,500,531.0899658
t3838,9.106857,0,1983.125,0,1983.125,500,593.2092285,9.106857,0,1983.125,0,1983.125,500,593.2092285,9.106857,0,1983.125,0,1983.125,500,593.2092285,9.106857,0,1983.125,0,1983.125,500,593.2092285
t3839,8.091733,0,1996.65,0,1996.65,500,616.4309692,8.091733,0,1996.65,0,1996.65,500,616.4309692,8.091733,0,1996.65,0,1996.65,500,616.4309692,8.091733,0,1996.65,0,1996.65,500,616.4309692
t3840,7.719831,0,2043.952,0,2043.952,500,709.359436,7.719831,0,2043.952,0,2043.952,500,709.359436,7.719831,0,2043.952,0,2043.952,500,709.359436,7.719831,0,2043.952,0,2043.952,500,709.359436
t3841,7.497633,0,2271.036,0,2271.036,500,858.1539307,7.497633,0,2271.036,0,2271.036,500,858.1539307,7.497633,0,2271.036,0,2271.036,500,858.1539307,7.497633,0,2271.036,0,2271.036,500,858.1539307
t3842,7.381541,0,831.4445,0,831.4445,500,1040.666138,7.381541,0,831.4445,0,831.4445,500,1040.666138,7.381541,0,831.4445,0,831.4445,500,1040.666138,7.381541,0,831.4445,0,831.4445,500,1040.666138
t3843,7.333305,0,2069.749,0,2069.749,500,1214.436401,7.333305,0,2069.749,0,2069.749,500,1214.436401,7.333305,0,2069.749,0,2069.749,500,1214.436401,7.333305,0,2069.749,0,2069.749,500,1214.436401
t3844,7.473963,0,4500,0,4500,500,1484.588989,7.473963,0,4500,0,4500,500,1484.588989,7.473963,0,4500,0,4500,500,1484.588989,7.473963,0,4500,0,4500,500,1484.588989
t3845,7.522894,0,4500,0,4500,499.7052252,1665.938843,7.522894,0,4500,0,4500,499.7052252,1665.938843,7.522894,0,4500,0,4500,499.7052252,1665.938843,7.522894,0,4500,0,4500,499.7052252,1665.938843
t3846,7.619957,0,4500,0,4500,499.4666874,1843.166382,7.619957,0,4500,0,4500,499.4666874,1843.166382,7.619957,0,4500,0,4500,499.4666874,1843.166382,7.619957,0,4500,0,4500,499.4666874,1843.166382
t3847,8.184964,0,0,0,0,499.106884,1786.222168,8.184964,0,0,0,0,499.106884,1786.222168,8.184964,0,0,0,0,499.106884,1786.222168,8.184964,0,0,0,0,499.106884,1786.222168
t3848,8.798386,142.3749,0,142.3749,0,499.1788566,1511.034668,8.798386,142.3749,0,142.3749,0,499.1788566,1511.034668,8.798386,142.3749,0,142.3749,0,499.1788566,1511.034668,8.798386,142.3749,0,142.3749,0,499.1788566,1511.034668
t3849,8.96354,388.4997,4500,388.4997,4500,499.250859,1184.134277,8.96354,388.4997,4500,388.4997,4500,499.250859,1184.134277,8.96354,388.4997,4500,388.4997,4500,499.250859,1184.134277,8.96354,388.4997,4500,388.4997,4500,499.250859,1184.134277
t3850,9.622456,500.3503,4500,500.3503,4500,499.3228316,930.802063,9.622456,500.3503,4500,500.3503,4500,499.3228316,930.802063,9.622456,500.3503,4500,500.3503,4500,499.3228316,930.802063,9.622456,500.3503,4500,500.3503,4500,499.3228316,930.802063
t3851,9.266636,2118.238,4500,2118.238,4500,499.8092353,708.899292,9.266636,2118.238,4500,2118.238,4500,499.8092353,708.899292,9.266636,2118.238,4500,2118.238,4500,499.8092353,708.899292,9.266636,2118.238,4500,2118.238,4500,499.8092353,708.899292
t3852,8.694697,1329.066,4500,1329.066,4500,500,605.8276367,8.694697,1329.066,4500,1329.066,4500,500,605.8276367,8.694697,1329.066,4500,1329.066,4500,500,605.8276367,8.694697,1329.066,4500,1329.066,4500,500,605.8276367
t3853,8.58346,1203.336,4175.993,1203.336,4175.993,500,641.7640991,8.58346,1203.336,4175.993,1203.336,4175.993,500,641.7640991,8.58346,1203.336,4175.993,1203.336,4175.993,500,641.7640991,8.58346,1203.336,4175.993,1203.336,4175.993,500,641.7640991
t3854,8.61323,2448.073,3204.544,2448.073,3204.544,500,721.5861206,8.61323,2448.073,3204.544,2448.073,3204.544,500,721.5861206,8.61323,2448.073,3204.544,2448.073,3204.544,500,721.5861206,8.61323,2448.073,3204.544,2448.073,3204.544,500,721.5861206
t3855,8.652427,3454.582,1913.165,3454.582,1913.165,500,846.581604,8.652427,3454.582,1913.165,3454.582,1913.165,500,846.581604,8.652427,3454.582,1913.165,3454.582,1913.165,500,846.581604,8.652427,3454.582,1913.165,3454.582,1913.165,500,846.581604
t3856,8.171802,2012.381,3068.167,2012.381,3068.167,500,887.7733154,8.171802,2012.381,3068.167,2012.381,3068.167,500,887.7733154,8.171802,2012.381,3068.167,2012.381,3068.167,500,887.7733154,8.171802,2012.381,3068.167,2012.381,3068.167,500,887.7733154
t3857,8.110719,355.1804,2599.871,355.1804,2599.871,500,887.911377,8.110719,355.1804,2599.871,355.1804,2599.871,500,887.911377,8.110719,355.1804,2599.871,355.1804,2599.871,500,887.911377,8.110719,355.1804,2599.871,355.1804,2599.871,500,887.911377
t3858,8.135461,121.1523,4500,121.1523,4500,500,799.1830444,8.135461,121.1523,4500,121.1523,4500,500,799.1830444,8.135461,121.1523,4500,121.1523,4500,500,799.1830444,8.135461,121.1523,4500,121.1523,4500,500,799.1830444
t3859,9.451462,0,4439.712,0,4439.712,500,692.1013794,9.451462,0,4439.712,0,4439.712,500,692.1013794,9.451462,0,4439.712,0,4439.712,500,692.1013794,9.451462,0,4439.712,0,4439.712,500,692.1013794
t3860,9.846104,0,4500,0,4500,500,657.0073242,9.846104,0,4500,0,4500,500,657.0073242,9.846104,0,4500,0,4500,500,657.0073242,9.846104,0,4500,0,4500,500,657.0073242
t3861,9.394514,0,4500,0,4500,500,633.9733887,9.394514,0,4500,0,4500,500,633.9733887,9.394514,0,4500,0,4500,500,633.9733887,9.394514,0,4500,0,4500,500,633.9733887
t3862,8.883939,0,4500,0,4500,500,543.2650757,8.883939,0,4500,0,4500,500,543.2650757,8.883939,0,4500,0,4500,500,543.2650757,8.883939,0,4500,0,4500,500,543.2650757
t3863,8.514512,0,2871.23,0,2871.23,500,294.5629272,8.514512,0,2871.23,0,2871.23,500,294.5629272,8.514512,0,2871.23,0,2871.23,500,294.5629272,8.514512,0,2871.23,0,2871.23,500,294.5629272
t3864,8.098979,0,434.4991,0,434.4991,500,348.9054565,8.098979,0,434.4991,0,434.4991,500,348.9054565,8.098979,0,434.4991,0,434.4991,500,348.9054565,8.098979,0,434.4991,0,434.4991,500,348.9054565
t3865,7.73652,0,0,0,0,500,489.898468,7.73652,0,0,0,0,500,489.898468,7.73652,0,0,0,0,500,489.898468,7.73652,0,0,0,0,500,489.898468
t3866,7.522894,0,0,0,0,500,626.0759277,7.522894,0,0,0,0,500,626.0759277,7.522894,0,0,0,0,500,626.0759277,7.522894,0,0,0,0,500,626.0759277
t3867,7.443049,0,0,0,0,500,700.5581665,7.443049,0,0,0,0,500,700.5581665,7.443049,0,0,0,0,500,700.5581665,7.443049,0,0,0,0,500,700.5581665
t3868,7.404743,0,0,0,0,500,770.7891235,7.404743,0,0,0,0,500,770.7891235,7.404743,0,0,0,0,500,770.7891235,7.404743,0,0,0,0,500,770.7891235
t3869,7.402585,0,316.6248,0,316.6248,500,797.6572266,7.402585,0,316.6248,0,316.6248,500,797.6572266,7.402585,0,316.6248,0,316.6248,500,797.6572266,7.402585,0,316.6248,0,316.6248,500,797.6572266
t3870,7.423819,0,777.8906,0,777.8906,500,854.7711792,7.423819,0,777.8906,0,777.8906,500,854.7711792,7.423819,0,777.8906,0,777.8906,500,854.7711792,7.423819,0,777.8906,0,777.8906,500,854.7711792
t3871,7.548415,0,1127.807,0,1127.807,500,873.541748,7.548415,0,1127.807,0,1127.807,500,873.541748,7.548415,0,1127.807,0,1127.807,500,873.541748,7.548415,0,1127.807,0,1127.807,500,873.541748
t3872,7.522441,28.45941,2024.998,28.45941,2024.998,500,733.4750977,7.522441,28.45941,2024.998,28.45941,2024.998,500,733.4750977,7.522441,28.45941,2024.998,28.45941,2024.998,500,733.4750977,7.522441,28.45941,2024.998,28.45941,2024.998,500,733.4750977
t3873,7.61525,195.6984,431.6029,195.6984,431.6029,500,543.0791016,7.61525,195.6984,431.6029,195.6984,431.6029,500,543.0791016,7.61525,195.6984,431.6029,195.6984,431.6029,500,543.0791016,7.61525,195.6984,431.6029,195.6984,431.6029,500,543.0791016
t3874,7.437789,1282.815,0,1282.815,0,500,331.0307922,7.437789,1282.815,0,1282.815,0,500,331.0307922,7.437789,1282.815,0,1282.815,0,500,331.0307922,7.437789,1282.815,0,1282.815,0,500,331.0307922
t3875,7.285245,1964.764,1279.886,1964.764,1279.886,500,186.923584,7.285245,1964.764,1279.886,1964.764,1279.886,500,186.923584,7.285245,1964.764,1279.886,1964.764,1279.886,500,186.923584,7.285245,1964.764,1279.886,1964.764,1279.886,500,186.923584
t3876,7.430357,3289.571,4500,3289.571,4500,500,139.1150513,7.430357,3289.571,4500,3289.571,4500,500,139.1150513,7.430357,3289.571,4500,3289.571,4500,500,139.1150513,7.430357,3289.571,4500,3289.571,4500,500,139.1150513
t3877,7.329958,3147.744,4500,3147.744,4500,500,151.6306763,7.329958,3147.744,4500,3147.744,4500,500,151.6306763,7.329958,3147.744,4500,3147.744,4500,500,151.6306763,7.329958,3147.744,4500,3147.744,4500,500,151.6306763
t3878,7.412962,3165.401,4500,3165.401,4500,500,168.8391113,7.412962,3165.401,4500,3165.401,4500,500,168.8391113,7.412962,3165.401,4500,3165.401,4500,500,168.8391113,7.412962,3165.401,4500,3165.401,4500,500,168.8391113
t3879,7.348429,3172.592,4500,3172.592,4500,500,179.2069244,7.348429,3172.592,4500,3172.592,4500,500,179.2069244,7.348429,3172.592,4500,3172.592,4500,500,179.2069244,7.348429,3172.592,4500,3172.592,4500,500,179.2069244
t3880,7.579757,2288.385,4500,2288.385,4500,500,164.319397,7.579757,2288.385,4500,2288.385,4500,500,164.319397,7.579757,2288.385,4500,2288.385,4500,500,164.319397,7.579757,2288.385,4500,2288.385,4500,500,164.319397
t3881,7.719831,1701.406,4500,1701.406,4500,500,196.4762573,7.719831,1701.406,4500,1701.406,4500,500,196.4762573,7.719831,1701.406,4500,1701.406,4500,500,196.4762573,7.719831,1701.406,4500,1701.406,4500,500,196.4762573
t3882,8.010434,947.7803,4500,947.7803,4500,500,189.444931,8.010434,947.7803,4500,947.7803,4500,500,189.444931,8.010434,947.7803,4500,947.7803,4500,500,189.444931,8.010434,947.7803,4500,947.7803,4500,500,189.444931
t3883,9.234662,0,4500,0,4500,500,166.0968018,9.234662,0,4500,0,4500,500,166.0968018,9.234662,0,4500,0,4500,500,166.0968018,9.234662,0,4500,0,4500,500,166.0968018
t3884,9.742736,0,4500,0,4500,500,127.5956039,9.742736,0,4500,0,4500,500,127.5956039,9.742736,0,4500,0,4500,500,127.5956039,9.742736,0,4500,0,4500,500,127.5956039
t3885,9.429232,0,4500,0,4500,500,94.05851746,9.429232,0,4500,0,4500,500,94.05851746,9.429232,0,4500,0,4500,500,94.05851746,9.429232,0,4500,0,4500,500,94.05851746
t3886,8.845072,0,4331.491,0,4331.491,496.1096644,75.94802856,8.845072,0,4331.491,0,4331.491,496.1096644,75.94802856,8.845072,0,4331.491,0,4331.491,496.1096644,75.94802856,8.845072,0,4331.491,0,4331.491,496.1096644,75.94802856
t3887,8.391491,0,4500,0,4500,491.9375479,72.76622772,8.391491,0,4500,0,4500,491.9375479,72.76622772,8.391491,0,4500,0,4500,491.9375479,72.76622772,8.391491,0,4500,0,4500,491.9375479,72.76622772
t3888,7.975409,0,2413.09,0,2413.09,487.7654612,77.15512848,7.975409,0,2413.09,0,2413.09,487.7654612,77.15512848,7.975409,0,2413.09,0,2413.09,487.7654612,77.15512848,7.975409,0,2413.09,0,2413.09,487.7654612,77.15512848
t3889,7.678078,0,871.677,0,871.677,483.5933447,77.0615387,7.678078,0,871.677,0,871.677,483.5933447,77.0615387,7.678078,0,871.677,0,871.677,483.5933447,77.0615387,7.678078,0,871.677,0,871.677,483.5933447,77.0615387
t3890,7.493598,0,1528.894,0,1528.894,480.956167,51.74412155,7.493598,0,1528.894,0,1528.894,480.956167,51.74412155,7.493598,0,1528.894,0,1528.894,480.956167,51.74412155,7.493598,0,1528.894,0,1528.894,480.956167,51.74412155
t3891,7.386677,0,1612.029,0,1612.029,480.1553488,0,7.386677,0,1612.029,0,1612.029,480.1553488,0,7.386677,0,1612.029,0,1612.029,480.1553488,0,7.386677,0,1612.029,0,1612.029,480.1553488,0
t3892,7.48376,0,184.1988,0,184.1988,479.3545306,48.52326202,7.48376,0,184.1988,0,184.1988,479.3545306,48.52326202,7.48376,0,184.1988,0,184.1988,479.3545306,48.52326202,7.48376,0,184.1988,0,184.1988,479.3545306,48.52326202
t3893,7.538814,0,0,0,0,471.4430273,137.7483826,7.538814,0,0,0,0,471.4430273,137.7483826,7.538814,0,0,0,0,471.4430273,137.7483826,7.538814,0,0,0,0,471.4430273,137.7483826
t3894,7.54979,0,0,0,0,463.2340074,262.0780334,7.54979,0,0,0,0,463.2340074,262.0780334,7.54979,0,0,0,0,463.2340074,262.0780334,7.54979,0,0,0,0,463.2340074,262.0780334
t3895,7.496288,0,401.6938,0,401.6938,455.0250173,370.5260925,7.496288,0,401.6938,0,401.6938,455.0250173,370.5260925,7.496288,0,401.6938,0,401.6938,455.0250173,370.5260925,7.496288,0,401.6938,0,401.6938,455.0250173,370.5260925
t3896,7.48153,383.1274,346.2074,383.1274,346.2074,446.1427927,451.9031677,7.48153,383.1274,346.2074,383.1274,346.2074,446.1427927,451.9031677,7.48153,383.1274,346.2074,383.1274,346.2074,446.1427927,451.9031677,7.48153,383.1274,346.2074,383.1274,346.2074,446.1427927,451.9031677
t3897,7.570499,871.9422,827.7393,871.9422,827.7393,437.2605979,550.34198,7.570499,871.9422,827.7393,871.9422,827.7393,437.2605979,550.34198,7.570499,871.9422,827.7393,871.9422,827.7393,437.2605979,550.34198,7.570499,871.9422,827.7393,871.9422,827.7393,437.2605979,550.34198
t3898,7.362804,1133.844,1348.81,1133.844,1348.81,427.1174669,602.8684692,7.362804,1133.844,1348.81,1133.844,1348.81,427.1174669,602.8684692,7.362804,1133.844,1348.81,1133.844,1348.81,427.1174669,602.8684692,7.362804,1133.844,1348.81,1133.844,1348.81,427.1174669,602.8684692
t3899,6.978389,1468.847,1890.245,1468.847,1890.245,419.94524,545.4870605,6.978389,1468.847,1890.245,1468.847,1890.245,419.94524,545.4870605,6.978389,1468.847,1890.245,1468.847,1890.245,419.94524,545.4870605,6.978389,1468.847,1890.245,1468.847,1890.245,419.94524,545.4870605
t3900,6.950285,982.3861,3285.988,982.3861,3285.988,412.7730429,517.2369385,6.950285,982.3861,3285.988,982.3861,3285.988,412.7730429,517.2369385,6.950285,982.3861,3285.988,982.3861,3285.988,412.7730429,517.2369385,6.950285,982.3861,3285.988,982.3861,3285.988,412.7730429,517.2369385
t3901,7.056716,1508.215,4346.774,1508.215,4346.774,405.6008458,460.3551941,7.056716,1508.215,4346.774,1508.215,4346.774,405.6008458,460.3551941,7.056716,1508.215,4346.774,1508.215,4346.774,405.6008458,460.3551941,7.056716,1508.215,4346.774,1508.215,4346.774,405.6008458,460.3551941
t3902,6.979097,1425.975,4282.608,1425.975,4282.608,404.7587812,400.1880798,6.979097,1425.975,4282.608,1425.975,4282.608,404.7587812,400.1880798,6.979097,1425.975,4282.608,1425.975,4282.608,404.7587812,400.1880798,6.979097,1425.975,4282.608,1425.975,4282.608,404.7587812,400.1880798
t3903,6.462805,1211.073,4290.258,1211.073,4290.258,403.9166868,414.9911804,6.462805,1211.073,4290.258,1211.073,4290.258,403.9166868,414.9911804,6.462805,1211.073,4290.258,1211.073,4290.258,403.9166868,414.9911804,6.462805,1211.073,4290.258,1211.073,4290.258,403.9166868,414.9911804
t3904,7.372154,646.8646,2753.656,646.8646,2753.656,403.0745924,432.2193298,7.372154,646.8646,2753.656,646.8646,2753.656,403.0745924,432.2193298,7.372154,646.8646,2753.656,646.8646,2753.656,403.0745924,432.2193298,7.372154,646.8646,2753.656,646.8646,2753.656,403.0745924,432.2193298
t3905,7.754798,656.9941,4468.38,656.9941,4468.38,402.1196365,402.4707336,7.754798,656.9941,4468.38,656.9941,4468.38,402.1196365,402.4707336,7.754798,656.9941,4468.38,656.9941,4468.38,402.1196365,402.4707336,7.754798,656.9941,4468.38,656.9941,4468.38,402.1196365,402.4707336
t3906,8.449976,337.9258,3317.772,337.9258,3317.772,401.1646509,391.4135132,8.449976,337.9258,3317.772,337.9258,3317.772,401.1646509,391.4135132,8.449976,337.9258,3317.772,337.9258,3317.772,401.1646509,391.4135132,8.449976,337.9258,3317.772,337.9258,3317.772,401.1646509,391.4135132
t3907,8.885335,0,3887.675,0,3887.675,400.2096653,326.0626526,8.885335,0,3887.675,0,3887.675,400.2096653,326.0626526,8.885335,0,3887.675,0,3887.675,400.2096653,326.0626526,8.885335,0,3887.675,0,3887.675,400.2096653,326.0626526
t3908,9.102441,0,4500,0,4500,400.3274441,280.4556274,9.102441,0,4500,0,4500,400.3274441,280.4556274,9.102441,0,4500,0,4500,400.3274441,280.4556274,9.102441,0,4500,0,4500,400.3274441,280.4556274
t3909,8.632123,0,4500,0,4500,400.4452527,303.9658813,8.632123,0,4500,0,4500,400.4452527,303.9658813,8.632123,0,4500,0,4500,400.4452527,303.9658813,8.632123,0,4500,0,4500,400.4452527,303.9658813
t3910,8.198757,0,4069.48,0,4069.48,400.4918635,255.0480042,8.198757,0,4069.48,0,4069.48,400.4918635,255.0480042,8.198757,0,4069.48,0,4069.48,400.4918635,255.0480042,8.198757,0,4069.48,0,4069.48,400.4918635,255.0480042
t3911,7.889367,0,886.1813,0,886.1813,412.2958779,71.1723175,7.889367,0,886.1813,0,886.1813,412.2958779,71.1723175,7.889367,0,886.1813,0,886.1813,412.2958779,71.1723175,7.889367,0,886.1813,0,886.1813,412.2958779,71.1723175
t3912,7.606799,0,0,0,0,423.8118231,74.20289612,7.606799,0,0,0,0,423.8118231,74.20289612,7.606799,0,0,0,0,423.8118231,74.20289612,7.606799,0,0,0,0,423.8118231,74.20289612
t3913,7.516555,0,523.05,0,523.05,435.3277683,0,7.516555,0,523.05,0,523.05,435.3277683,0,7.516555,0,523.05,0,523.05,435.3277683,0,7.516555,0,523.05,0,523.05,435.3277683,0
t3914,7.405607,0,509.9502,0,509.9502,471.8668163,0,7.405607,0,509.9502,0,509.9502,471.8668163,0,7.405607,0,509.9502,0,509.9502,471.8668163,0,7.405607,0,509.9502,0,509.9502,471.8668163,0
t3915,7.332886,0,686.9337,0,686.9337,495.8646595,0,7.332886,0,686.9337,0,686.9337,495.8646595,0,7.332886,0,686.9337,0,686.9337,495.8646595,0,7.332886,0,686.9337,0,686.9337,495.8646595,0
t3916,7.317033,0,1418.267,0,1418.267,497.9793131,0,7.317033,0,1418.267,0,1418.267,497.9793131,0,7.317033,0,1418.267,0,1418.267,497.9793131,0,7.317033,0,1418.267,0,1418.267,497.9793131,0
t3917,7.34885,0,4025.023,0,4025.023,497.6843596,76.55171204,7.34885,0,4025.023,0,4025.023,497.6843596,76.55171204,7.34885,0,4025.023,0,4025.023,497.6843596,76.55171204,7.34885,0,4025.023,0,4025.023,497.6843596,76.55171204
t3918,7.458457,0,4281.858,0,4281.858,499.768585,71.29246521,7.458457,0,4281.858,0,4281.858,499.768585,71.29246521,7.458457,0,4281.858,0,4281.858,499.768585,71.29246521,7.458457,0,4281.858,0,4281.858,499.768585,71.29246521
t3919,7.931807,0,4500,0,4500,500,0,7.931807,0,4500,0,4500,500,0,7.931807,0,4500,0,4500,500,0,7.931807,0,4500,0,4500,500,0
t3920,8.134897,876.3527,4500,876.3527,4500,500,0,8.134897,876.3527,4500,876.3527,4500,500,0,8.134897,876.3527,4500,876.3527,4500,500,0,8.134897,876.3527,4500,876.3527,4500,500,0
t3921,8.010976,1832.71,4500,1832.71,4500,500,0,8.010976,1832.71,4500,1832.71,4500,500,0,8.010976,1832.71,4500,1832.71,4500,500,0,8.010976,1832.71,4500,1832.71,4500,500,0
t3922,8.120817,3033.587,4500,3033.587,4500,500,58.44213104,8.120817,3033.587,4500,3033.587,4500,500,58.44213104,8.120817,3033.587,4500,3033.587,4500,500,58.44213104,8.120817,3033.587,4500,3033.587,4500,500,58.44213104
t3923,7.90449,3602.879,4500,3602.879,4500,498.5662401,0,7.90449,3602.879,4500,3602.879,4500,498.5662401,0,7.90449,3602.879,4500,3602.879,4500,498.5662401,0,7.90449,3602.879,4500,3602.879,4500,498.5662401,0
t3924,7.793234,3598.021,4500,3598.021,4500,494.5146441,0,7.793234,3598.021,4500,3598.021,4500,494.5146441,0,7.793234,3598.021,4500,3598.021,4500,494.5146441,0,7.793234,3598.021,4500,3598.021,4500,494.5146441,0
t3925,8.295799,4032.941,4500,4032.941,4500,490.463078,0,8.295799,4032.941,4500,4032.941,4500,490.463078,0,8.295799,4032.941,4500,4032.941,4500,490.463078,0,8.295799,4032.941,4500,4032.941,4500,490.463078,0
t3926,7.694507,3385.015,4500,3385.015,4500,488.7063503,64.07781219,7.694507,3385.015,4500,3385.015,4500,488.7063503,64.07781219,7.694507,3385.015,4500,3385.015,4500,488.7063503,64.07781219,7.694507,3385.015,4500,3385.015,4500,488.7063503,64.07781219
t3927,8.155852,2591.245,4500,2591.245,4500,487.8467619,74.46179962,8.155852,2591.245,4500,2591.245,4500,487.8467619,74.46179962,8.155852,2591.245,4500,2591.245,4500,487.8467619,74.46179962,8.155852,2591.245,4500,2591.245,4500,487.8467619,74.46179962
t3928,8.277457,2702.537,4500,2702.537,4500,486.1207306,114.1472473,8.277457,2702.537,4500,2702.537,4500,486.1207306,114.1472473,8.277457,2702.537,4500,2702.537,4500,486.1207306,114.1472473,8.277457,2702.537,4500,2702.537,4500,486.1207306,114.1472473
t3929,8.375657,1936.523,4500,1936.523,4500,476.8112898,113.132843,8.375657,1936.523,4500,1936.523,4500,476.8112898,113.132843,8.375657,1936.523,4500,1936.523,4500,476.8112898,113.132843,8.375657,1936.523,4500,1936.523,4500,476.8112898,113.132843
t3930,8.364738,719.45,4500,719.45,4500,465.6821489,111.9654236,8.364738,719.45,4500,719.45,4500,465.6821489,111.9654236,8.364738,719.45,4500,719.45,4500,465.6821489,111.9654236,8.364738,719.45,4500,719.45,4500,465.6821489,111.9654236
t3931,9.583014,0,4500,0,4500,454.3999732,178.4193268,9.583014,0,4500,0,4500,454.3999732,178.4193268,9.583014,0,4500,0,4500,454.3999732,178.4193268,9.583014,0,4500,0,4500,454.3999732,178.4193268
t3932,10.05389,0,4202.212,0,4202.212,454.4868171,151.224472,10.05389,0,4202.212,0,4202.212,454.4868171,151.224472,10.05389,0,4202.212,0,4202.212,454.4868171,151.224472,10.05389,0,4202.212,0,4202.212,454.4868171,151.224472
t3933,9.563413,0,4436.737,0,4436.737,454.5736611,120.2816467,9.563413,0,4436.737,0,4436.737,454.5736611,120.2816467,9.563413,0,4436.737,0,4436.737,454.5736611,120.2816467,9.563413,0,4436.737,0,4436.737,454.5736611,120.2816467
t3934,8.967099,0,4218.566,0,4218.566,454.6605051,84.29914856,8.967099,0,4218.566,0,4218.566,454.6605051,84.29914856,8.967099,0,4218.566,0,4218.566,454.6605051,84.29914856,8.967099,0,4218.566,0,4218.566,454.6605051,84.29914856
t3935,8.381738,0,4376.877,0,4376.877,454.0388286,0,8.381738,0,4376.877,0,4376.877,454.0388286,0,8.381738,0,4376.877,0,4376.877,454.0388286,0,8.381738,0,4376.877,0,4376.877,454.0388286,0
t3936,7.909723,0,4476.628,0,4476.628,453.417182,0,7.909723,0,4476.628,0,4476.628,453.417182,0,7.909723,0,4476.628,0,4476.628,453.417182,0,7.909723,0,4476.628,0,4476.628,453.417182,0
t3937,7.611491,0,4500,0,4500,452.7955055,0,7.611491,0,4500,0,4500,452.7955055,0,7.611491,0,4500,0,4500,452.7955055,0,7.611491,0,4500,0,4500,452.7955055,0
t3938,7.515198,0,4500,0,4500,450.6662786,0,7.515198,0,4500,0,4500,450.6662786,0,7.515198,0,4500,0,4500,450.6662786,0,7.515198,0,4500,0,4500,450.6662786,0
t3939,7.429048,0,1390.324,0,1390.324,448.5370517,90.138237,7.429048,0,1390.324,0,1390.324,448.5370517,90.138237,7.429048,0,1390.324,0,1390.324,448.5370517,90.138237,7.429048,0,1390.324,0,1390.324,448.5370517,90.138237
t3940,7.388821,0,1738.929,0,1738.929,446.4078248,110.0818863,7.388821,0,1738.929,0,1738.929,446.4078248,110.0818863,7.388821,0,1738.929,0,1738.929,446.4078248,110.0818863,7.388821,0,1738.929,0,1738.929,446.4078248,110.0818863
t3941,7.390537,0,1925.946,0,1925.946,440.823704,153.0609131,7.390537,0,1925.946,0,1925.946,440.823704,153.0609131,7.390537,0,1925.946,0,1925.946,440.823704,153.0609131,7.390537,0,1925.946,0,1925.946,440.823704,153.0609131
t3942,7.504824,0,1242.757,0,1242.757,435.2396131,167.2107544,7.504824,0,1242.757,0,1242.757,435.2396131,167.2107544,7.504824,0,1242.757,0,1242.757,435.2396131,167.2107544,7.504824,0,1242.757,0,1242.757,435.2396131,167.2107544
