,demand_R1,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,demand_R2
t1007,10.26353,0,4500,0,4500,217.0834094,1477.232788,52669
t1008,9.481804,0,4500,0,4500,222.8951901,1991.059326,48709
t1009,8.944377,0,4500,0,4500,228.3286601,2464.489502,45654
t1010,8.702676,0,4500,0,4500,226.9258946,2707.807373,43781
t1011,8.598962,0,4500,0,4500,225.523144,3152.909668,42993
t1012,8.568024,0,1907.72,0,1907.72,224.1203785,2832.936279,43281
t1013,8.620386,0,2167.084,0,2167.084,225.1734734,2454.676758,44055
t1014,8.485543,0,1995.365,0,1995.365,226.2265682,2778.334717,46220
t1015,8.328593,0,3152.918,0,3152.918,227.2796631,3041.344238,53382
t1016,8.398213,386.3827,3319.717,386.3827,3319.717,230.1282883,2603.20166,59198
t1017,8.552653,818.8184,4369.512,818.8184,4369.512,232.9769284,2642.672119,61185
t1018,8.446252,1526.404,2204.271,1526.404,2204.271,235.8255535,3224.187256,61622
t1019,8.712674,2061.136,2315.289,2061.136,2315.289,238.3219898,1973.093628,62435
t1020,8.617132,2563.365,3751.71,2563.365,3751.71,240.8184111,2134.356445,62973
t1021,8.386611,2596.375,3550.505,2596.375,3550.505,243.3148474,2098.381348,62105
t1022,8.513247,2069.148,4500,2069.148,4500,239.6775335,1870.420166,60913
t1023,8.265089,1632.945,4500,1632.945,4500,236.0402197,1754.053711,59548
t1024,8.070099,2086.036,4500,2086.036,4500,232.4029058,2368.683105,58551
t1025,8.259216,1899.154,4362.273,1899.154,4362.273,228.3264101,2605.767822,57361
t1026,8.700015,768.601,2978.277,768.601,2978.277,224.2499143,2628.397461,59000
t1027,9.022294,420.0114,2703.483,420.0114,2703.483,220.1734185,2671.075928,61420
t1028,10.31132,0,2561.593,0,2561.593,217.5103277,3046.019775,60178
t1029,11.46164,0,4500,0,4500,214.9022073,3220.906494,56537
t1030,10.83771,0,4500,0,4500,212.2863233,3328.505615,53684
t1031,10.1408,0,4500,0,4500,212.5834972,2610.315918,51972
t1032,9.318896,0,1492.863,0,1492.863,212.8779739,2817.710205,48483
t1033,8.680774,0,1242.734,0,1242.734,213.1063938,2913.888184,45835
t1034,8.365344,0,97.90047,0,97.90047,213.928178,3044.082275,43941
t1035,8.290463,0,217.7415,0,217.7415,214.7499472,3019.675049,42989
t1036,8.311262,0,0,0,0,215.5717313,3058.339355,43247
t1037,8.442533,0,0,0,0,217.1733081,2884.38916,44178
t1038,8.21666,0,0,0,0,218.7927961,2929.326416,46600
t1039,8.03001,0,0,0,0,220.4122692,3058.732178,52755
t1040,8.188407,562.4911,0,562.4911,0,224.49781,2989.801758,57964
t1041,8.027829,1367.182,0,1367.182,0,228.5833508,2940.771484,59655
t1042,7.622786,2020.564,452.9828,2020.564,452.9828,232.6688766,2753.120361,60392
t1043,7.288526,2762.048,647.5605,2762.048,647.5605,233.3047986,2598.036377,61227
t1044,7.514747,3610.411,471.0652,3610.411,471.0652,233.9407206,3130.392822,61286
t1045,7.289348,4017.091,821.1865,4017.091,821.1865,234.5766425,2785.863037,59973
t1046,7.276652,3051.766,917.0518,3051.766,917.0518,230.0051153,2753.388184,58291
t1047,7.470854,3452.033,4315.023,3452.033,4315.023,218.3752209,3489.563721,56905
t1048,7.667981,2512.112,2873.997,2512.112,2873.997,197.4702328,3454.89209,56023
t1049,8.05466,1761.49,1903.293,1761.49,1903.293,200.4544437,2694.062988,55498
t1050,8.316631,814.6978,2965.382,814.6978,2965.382,203.4386396,1151.906982,57070
t1051,8.703342,358.1879,760.5433,358.1879,760.5433,206.6909671,881.7087402,60197
t1052,9.705672,0,471.2425,0,471.2425,211.1985832,946.9251709,58964
t1053,10.4225,0,210.8028,0,210.8028,215.7062143,1205.79187,55080
t1054,10.07098,0,945.5631,0,945.5631,220.2138305,1903.188721,52092
t1055,9.315033,0,390.4974,0,390.4974,224.4159728,2585.248047,50334
t1056,8.735433,0,401.1417,0,401.1417,228.6181003,1843.978271,47381
t1057,8.479903,0,1327.176,0,1327.176,233.0028713,2018.997559,44352
t1058,8.338795,0,1064.86,0,1064.86,243.2023585,2440.269775,42265
t1059,8.352646,0,1241.057,0,1241.057,253.5844743,3186.563965,41020
t1060,8.411694,0,981.9496,0,981.9496,263.9665902,3154.500488,40523
t1061,8.267441,0,442.6279,0,442.6279,271.0640132,2516.084229,40356
t1062,8.55777,0,383.926,0,383.926,278.8712382,1855.94104,39972
t1063,8.997113,0,1152.12,0,1152.12,286.8663371,1311.509033,40032
t1064,9.249098,591.1312,0,591.1312,0,294.2474186,1049.911133,42555
t1065,8.974938,1616.783,385.166,1616.783,385.166,301.6284704,756.5609131,46143
t1066,7.61243,2114.801,682.8068,2114.801,682.8068,308.7100089,395.6871643,48890
t1067,5.867824,3136.822,791.0643,3136.822,791.0643,309.3798757,0,50253
t1068,5.867824,3377.95,403.1137,3377.95,403.1137,309.8780215,0,51005
t1069,8.384783,4257.752,1366.74,4257.752,1366.74,308.8903725,0,49608
t1070,9.126786,3765.414,3701.701,3765.414,3701.701,306.3147962,0,47583
t1071,10.04492,3506.063,2940.909,3506.063,2940.909,303.7392497,0,46404
t1072,9.903384,2783.856,603.5034,2783.856,603.5034,301.1637032,0,45607
t1073,9.763071,2036.339,233.6052,2036.339,233.6052,301.8825352,0,45849
t1074,9.427648,1312.462,100.8915,1312.462,100.8915,302.6013672,0,48620
t1075,9.486612,414.3941,688.6384,414.3941,688.6384,303.3201993,45.36105347,52175
t1076,10.72466,0,272.8442,0,272.8442,307.6004386,67.29962158,50278
t1077,11.58574,0,226.6475,0,226.6475,311.8806779,112.3412018,47129
t1078,10.96855,0,0,0,0,316.1608875,335.9354248,45103
t1079,9.954249,0,0,0,0,318.7068701,283.6792603,45270
t1080,9.177392,0,0,0,0,321.2528825,391.3468628,42528
t1081,8.675484,0,0,0,0,323.7988651,619.265686,39881
t1082,8.476773,0,364.8322,0,364.8322,327.2696435,835.5514526,38288
t1083,8.390271,0,446.0994,0,446.0994,330.6402564,767.3646851,37463
t1084,8.285728,0,323.7341,0,323.7341,333.6195946,623.6496582,37209
t1085,8.31484,0,217.8365,0,217.8365,336.7423713,636.1121216,37004
t1086,8.58346,0,0,0,0,339.8651779,657.9296265,36608
t1087,8.897914,0,267.4724,0,267.4724,342.9879546,638.7258301,35904
t1088,8.786802,670.002,462.2979,670.002,462.2979,354.5848131,555.7568359,37210
t1089,9.122349,1728.592,1268.841,1728.592,1268.841,366.1816716,442.0827332,40183
t1090,9.91037,2332.374,2793.444,2332.374,2793.444,377.7785003,380.4447632,43229
t1091,9.596125,3268.732,4500,3268.732,4500,383.2831383,0,45318
t1092,9.648932,2665.441,4500,2665.441,4500,388.7877464,111.1585388,46969
t1093,8.86307,3576.27,4500,3576.27,4500,394.4832981,149.2902679,45960
t1094,9.178141,3282.36,4500,3282.36,4500,394.2138553,102.7685547,43401
t1095,9.101706,3465.287,4500,3465.287,4500,394.1298127,0,42219
t1096,9.305003,2590.396,4500,2590.396,4500,394.0457702,0,41543
t1097,9.673883,2136.489,2951.503,2136.489,2951.503,397.8195488,0,41241
t1098,9.731757,1123.643,1961.591,1123.643,1961.591,401.5933573,0,44408
t1099,9.949845,388.2787,602.1428,388.2787,602.1428,405.367136,0,48977
t1100,11.69334,0,135.6598,0,135.6598,411.6435051,0,48329
t1101,12.91332,0,129.8643,0,129.8643,417.9198742,0,45980
t1102,12.15977,0,0,0,0,424.1962731,0,44800
t1103,10.97485,0,0,0,0,428.8775027,98.39037323,45240
t1104,9.89118,0,0,0,0,432.8356087,52.06096268,42962
t1105,9.366302,0,0,0,0,436.7937148,0,40791
t1106,9.149038,0,0,0,0,437.5906885,0,39357
t1107,8.889523,0,0,0,0,438.3876622,0,38724
t1108,8.853369,0,0,0,0,439.1846061,0,39334
t1109,8.826468,0,1196.937,0,1196.937,445.6602037,0,40548
t1110,9.112015,0,646.405,0,646.405,452.1357715,0,43274
t1111,9.513149,0,2207.839,0,2207.839,458.6113691,99.84304047,49184
t1112,9.683899,541.2635,4496.191,541.2635,4496.191,471.4783728,139.8048248,54225
t1113,9.954249,1528.773,4500,1528.773,4500,484.3453467,128.9868011,57018
t1114,10.83566,2107.031,4500,2107.031,4500,493.473947,51.01476288,58741
t1115,10.7388,3544.614,4500,3544.614,4500,493.114382,198.4608917,60192
t1116,10.45329,3900.368,4500,3900.368,4500,492.7547872,156.5270386,60564
t1117,10.42634,3739.692,4500,3739.692,4500,492.3952222,174.4857788,60032
t1118,10.49783,3683.386,4500,3683.386,4500,492.0961261,224.3269348,58934
t1119,10.48715,2444.004,4500,2444.004,4500,491.9755161,176.1935883,57417
t1120,11.27236,3455.153,4500,3455.153,4500,492.2896624,124.072525,56395
t1121,10.69345,2703.647,4500,2703.647,4500,492.1266735,69.92118073,55355
t1122,9.733444,1341.006,4500,1341.006,4500,491.7102158,91.79193878,57020
t1123,10.06108,428.0358,3118.097,428.0358,3118.097,491.2937284,151.7345123,60567
t1124,11.31975,0,3440.464,0,3440.464,490.3576076,174.3253937,59771
t1125,12.74808,0,457.9679,0,457.9679,489.4214571,189.7762909,55936
t1126,11.98696,0,1115.932,0,1115.932,488.4853065,271.763031,53415
t1127,10.79878,0,1967.244,0,1967.244,487.4080718,362.3244019,51903
t1128,9.572387,0,4192.507,0,4192.507,486.3308072,353.59729,48573
t1129,9.168418,0,4500,0,4500,485.2535427,334.9224243,45822
t1130,9.017246,0,3900.082,0,3900.082,484.5622778,355.903656,43894
t1131,8.847145,0,4500,0,4500,483.8710427,533.6781006,42802
t1132,8.768474,0,2442.105,0,2442.105,483.1798077,664.0549316,42902
t1133,8.69669,0,1836.42,0,1836.42,482.2769463,648.5294189,44011
t1134,8.794976,0,4500,0,4500,481.3740849,822.0728149,46305
t1135,9.294228,0,4500,0,4500,480.4712236,787.3652344,52120
t1136,8.968522,523.6862,4500,523.6862,4500,482.0048809,735.0009155,57299
t1137,9.409474,1130.747,4500,1130.747,4500,485.218972,834.0934448,59608
t1138,9.443511,2761.089,3392.654,2761.089,3392.654,485.0411415,938.5709839,60777
t1139,9.2674,3841.365,4500,3841.365,4500,482.5372994,1217.621338,61913
t1140,9.061447,4062.023,4356.108,4062.023,4356.108,480.0334871,1229.829712,63090
t1141,9.073119,3833.739,3146.767,3833.739,3146.767,477.529645,1020.679993,62263
t1142,9.629062,3540.4,2796.084,3540.4,2796.084,474.0961194,1219.611206,61146
t1143,9.273518,3652.613,653.4877,3652.613,653.4877,470.6626236,1549.162476,60219
t1144,10.07909,2051.283,904.8149,2051.283,904.8149,467.2290981,1904.779053,59220
t1145,10.42538,1857.938,2785.574,1857.938,2785.574,464.4555449,1936.682251,58584
t1146,9.987846,610.6138,1630.223,610.6138,1630.223,461.6819918,1763.768188,60177
t1147,10.37187,279.3479,1062.156,279.3479,1062.156,458.3747983,2147.473389,61773
t1148,11.78364,0,1178.317,0,1178.317,456.7323923,3351.643066,60296
t1149,12.74276,0,1117.838,0,1117.838,455.0899565,4260.922363,56835
t1150,12.03193,0,1052.963,0,1052.963,453.4475505,3471.933594,53906
t1151,10.81412,0,1417.531,0,1417.531,452.5675178,2914.83252,51749
t1152,9.967485,0,386.5699,0,386.5699,452.8850913,4245.224121,48120
t1153,9.394514,0,0,0,0,451.5762627,4677.510254,45243
t1154,9.016524,0,0,0,0,449.0421414,5000,43206
t1155,8.777966,0,0,0,0,446.50805,4847.630371,42081
t1156,8.736104,0,0,0,0,443.9739585,4732.249512,42366
t1157,8.794293,0,0,0,0,444.3662763,4338.915527,43352
t1158,8.910532,0,216.334,0,216.334,444.7585642,4471.400879,46063
t1159,9.249858,0,0,0,0,445.1355338,5000,52722
t1160,9.123827,576.2195,439.2703,576.2195,439.2703,445.8566904,5000,58376
t1161,9.631541,1514.813,350.4285,1514.813,350.4285,446.4119375,4682.00293,60708
t1162,9.76392,3030.267,852.8128,3030.267,852.8128,446.4770854,4502.272461,61437
t1163,10.44558,3690.226,181.9805,3690.226,181.9805,443.4984624,4767.211426,62389
t1164,9.20744,3706.904,0,3706.904,0,440.5198395,3848.421875,62658
t1165,8.904219,4397.359,130.5537,4397.359,130.5537,437.5412166,3482.151611,62059
t1166,8.73409,4084.253,368.2976,4084.253,368.2976,435.0141585,4175.15918,61478
t1167,9.328184,3003.748,372.8818,3003.748,372.8818,432.4871004,4320.186523,60682
t1168,9.313488,1423.853,437.4379,1423.853,437.4379,429.9600422,3853.401855,59610
t1169,9.413418,1408.188,163.2232,1408.188,163.2232,428.629458,3308.820068,58489
t1170,9.658065,1036.041,1009.49,1036.041,1009.49,427.2988737,2771.555664,59713
t1171,10.05838,408.9762,1649.121,408.9762,1649.121,425.9682894,2125.938232,62545
t1172,11.49218,0,2412.167,0,2412.167,426.5553951,1591.458984,62190
t1173,12.53,0,3936.251,0,3936.251,427.1425307,1351.865967,58467
t1174,11.87386,0,2919.386,0,2919.386,427.7296662,1316.662964,55606
t1175,10.90799,0,4500,0,4500,429.8272133,1176.460327,53208
t1176,10.1335,0,4486.937,0,4486.937,431.9247305,1117.273315,49430
t1177,9.524452,0,1909.195,0,1909.195,434.0222478,1070.370117,46311
t1178,9.11054,0,445.0276,0,445.0276,432.4638844,995.0198975,44647
t1179,8.818914,0,1043.317,0,1043.317,430.9055209,863.6546631,43778
t1180,8.72069,0,694.7482,0,694.7482,429.3471277,812.8145142,43905
t1181,8.562894,0,1284.702,0,1284.702,427.8365076,732.1712646,44943
t1182,8.587329,0,0,0,0,426.3258874,615.6248779,47385
t1183,8.401884,0,315.8668,0,315.8668,424.8152375,397.5748291,53599
t1184,8.253939,499.7778,225.1665,499.7778,225.1665,420.50156,275.4764709,59101
t1185,8.122503,1345.169,0,1345.169,0,416.1878824,159.2175751,61092
t1186,7.889887,1650.041,200.6895,1650.041,200.6895,411.5054905,92.77853394,61370
t1187,8.061267,3424.114,195.3409,3424.114,195.3409,405.2897394,411.6811523,61829
t1188,8.218978,3863.263,2215.646,3863.263,2215.646,399.0739584,601.7401733,63048
t1189,7.48153,3809.475,1292.278,3809.475,1292.278,392.8581774,837.6033325,62233
t1190,8.269206,4481.451,3879.99,4481.451,3879.99,388.4465694,1017.957031,61732
t1191,7.823559,2869.654,4450.138,2869.654,4450.138,384.0349317,935.8105469,60767
t1192,8.149607,2454.154,4283.843,2454.154,4283.843,379.879117,876.6887207,59821
t1193,8.396989,2221.982,1473.207,2221.982,1473.207,378.8644373,731.0860596,58369
t1194,8.62299,1038.518,142.3671,1038.518,142.3671,377.8497577,818.4689941,59514
t1195,9.318124,393.0822,675.1513,393.0822,675.1513,375.9989738,914.7214355,62804
t1196,10.93402,0,0,0,0,374.6083677,1042.842285,62335
t1197,11.93261,0,165.55,0,165.55,373.2266426,1064.363892,58536
t1198,11.72254,0,0,0,0,371.8448877,866.5630493,55836
t1199,11.19049,0,0,0,0,374.0912378,1039.300293,53726
t1200,10.38806,0,0,0,0,376.3375878,780.0563354,50265
t1201,9.718276,0,108.2958,0,108.2958,378.5839677,708.0283813,47439
t1202,9.206687,0,0,0,0,383.8097453,1006.41217,45612
t1203,9.129746,0,0,0,0,389.2399073,1311.911987,44481
t1204,8.872101,0,0,0,0,395.0462639,1575.323364,44505
t1205,8.94721,0,0,0,0,399.6262252,1880.374634,45012
t1206,9.172902,0,0,0,0,403.8170576,2101.465332,47339
t1207,8.882545,0,0,0,0,408.0078602,2064.486572,53445
t1208,9.038926,81.21611,0,81.21611,0,408.2664847,2358.063477,58510
t1209,8.469898,502.9366,1489.208,502.9366,1489.208,408.5251093,2214.474854,60354
t1210,8.120817,723.7478,4395.627,723.7478,4395.627,408.7837338,1831.279175,60972
t1211,8.350233,1292.307,4196.879,1292.307,4196.879,407.6538086,1951.944824,62185
t1212,8.040394,2109.479,4500,2109.479,4500,406.5238535,1799.743164,62998
t1213,8.028374,1053.519,4500,1053.519,4500,405.3939283,2137.607178,62442
t1214,7.65267,611.8632,1161.973,611.8632,1161.973,405.5941403,2697.052979,60483
t1215,8.074524,634.5859,1598.946,634.5859,1598.946,405.7943225,2922.344238,57448
t1216,7.782698,1130.86,3159.15,1130.86,3159.15,406.1003923,2863.482666,56508
t1217,8.256283,1053.659,1025.229,1053.659,1025.229,404.9813449,2670.271729,55866
t1218,8.351439,1063.719,0,1063.719,0,403.8622677,2660.088379,57321
t1219,8.828531,421.4876,602.0526,421.4876,602.0526,401.1888206,2970.555908,60172
t1220,10.33584,0,1095.849,0,1095.849,397.4766135,3045.482422,59263
t1221,10.93089,0,968.3341,0,968.3341,393.7644064,3140.999023,55194
t1222,10.39092,0,4066.576,0,4066.576,389.3536925,3126.127686,52218
t1223,9.620807,0,4297.906,0,4297.906,392.4033344,2760.533447,50444
t1224,9.079699,0,3526.958,0,3526.958,395.453006,2431.537598,46872
t1225,8.793611,0,4500,0,4500,398.3819783,2925.947021,43581
t1226,8.672182,0,1240.588,0,1240.588,400.3861248,3574.459229,41849
t1227,8.523375,0,1172.684,0,1172.684,402.3902416,3946.88916,40567
t1228,8.694033,0,118.781,0,118.781,404.3943882,3999.58667,39918
t1229,8.64521,0,246.3708,0,246.3708,407.3353708,3639.019287,39940
t1230,8.879757,0,443.296,0,443.296,410.2763534,3393.274414,39931
t1231,9.44828,0,639.0077,0,639.0077,413.2173359,2900.90918,40554
t1232,9.363179,337.1252,4389.212,337.1252,4389.212,416.3369238,2248.179199,43062
t1233,10.10714,1425.781,1798.824,1425.781,1798.824,419.4565415,1579.503052,46546
t1234,10.35383,2256.947,1168.286,2256.947,1168.286,422.5761294,1008.587524,49777
t1235,10.848,1917.555,1040.379,1917.555,1040.379,424.2619872,638.1450195,52401
t1236,10.73173,3288.341,503.0829,3288.341,503.0829,425.9478748,358.7643433,54079
t1237,10.00739,3122.701,0,3122.701,0,427.6337326,167.5197449,53740
t1238,10.24304,2840.155,0,2840.155,0,424.0933359,70.21977234,51588
t1239,11.27236,2700.794,2845.411,2700.794,2845.411,420.5529094,0,50097
t1240,12.13379,1998.041,1071.072,1998.041,1071.072,417.0124829,43.70623779,48660
t1241,11.45825,973.0543,2343.666,973.0543,2343.666,412.2372866,91.13585663,47873
t1242,10.93402,531.8527,4500,531.8527,4500,407.4620903,86.65245056,49057
t1243,11.32417,408.3353,2850.183,408.3353,2850.183,402.6868641,83.5131073,52114
t1244,13.26173,0,1097.911,0,1097.911,398.8681734,100.3124466,51480
t1245,14.2382,0,371.535,0,371.535,395.0494826,114.5009155,48120
t1246,13.19712,0,297.3979,0,297.3979,391.2307918,94.74649811,45630
t1247,11.85597,0,403.3703,0,403.3703,389.5145655,258.4005127,45453
t1248,10.72163,0,2423.225,0,2423.225,387.7983391,164.472702,43069
t1249,10.10351,0,867.0089,0,867.0089,386.082083,202.5096588,40167
t1250,9.757132,0,370.9126,0,370.9126,385.5931759,207.3606873,38300
t1251,9.566675,0,833.5779,0,833.5779,385.104239,214.0982971,37444
t1252,9.4778,0,3342.716,0,3342.716,384.6153021,222.1862335,36850
t1253,9.441128,0,814.5404,0,814.5404,384.8719895,171.5187531,36812
t1254,9.612565,0,174.9833,0,174.9833,385.1286769,113.0807037,36098
t1255,10.30098,0,0,0,0,385.3853643,118.5162277,35429
t1256,10.08541,538.9346,834.4951,538.9346,834.4951,386.4277899,83.47025299,36713
t1257,10.9822,797.7426,2160.681,797.7426,2160.681,387.4701858,44.34783173,39535
t1258,12.08454,1938.177,1251.748,1938.177,1251.748,388.5126114,0,42809
t1259,10.6744,3500.118,1334.558,3500.118,1334.558,385.0500286,58.92258835,45004
t1260,11.46502,3395.519,1717.189,3395.519,1717.189,381.5874457,0,47265
t1261,10.24118,2415.018,4500,2415.018,4500,378.1248629,0,46678
t1262,10.83977,3201.052,4500,3201.052,4500,377.2114217,0,44926
t1263,11.25919,3703.253,4500,3703.253,4500,376.2979805,0,43416
t1264,11.76361,3125.879,4500,3125.879,4500,375.3845394,0,42618
t1265,12.1821,2114.294,4500,2114.294,4500,374.7748137,0,42367
t1266,11.98453,1136.175,1720.579,1136.175,1720.579,374.1650581,0,45153
t1267,12.30609,330.0633,286.1235,330.0633,286.1235,373.5553324,0,49722
t1268,14.27092,0,434.6451,0,434.6451,374.2356598,0,49482
t1269,15.16682,0,700.15,0,700.15,374.9159873,0,47383
t1270,14.15297,0,1420.016,0,1420.016,375.5963147,0,46427
t1271,12.49635,0,1317.167,0,1317.167,379.1107535,120.1882553,47366
t1272,11.25043,0,3174.799,0,3174.799,382.6251626,98.94597626,45111
t1273,10.41387,0,3282.549,0,3282.549,386.1396015,95.73666382,42961
t1274,10.02077,0,1195.984,0,1195.984,386.8527114,74.93199158,42389
t1275,9.693099,0,164.5755,0,164.5755,386.3381147,71.57632446,41508
t1276,9.610096,0,467.5682,0,467.5682,385.6708109,85.70166779,42378
t1277,9.652251,0,599.2123,0,599.2123,382.8082681,139.9273987,43855
t1278,9.829731,0,544.6688,0,544.6688,382.0684254,98.54444885,46883
t1279,10.2217,0,401.0792,0,401.0792,381.7447722,137.2227173,54125
t1280,10.13624,584.6238,628.2611,584.6238,628.2611,381.2915385,267.1473694,59577
t1281,11.05303,1590.462,650.1395,1590.462,650.1395,380.8383048,291.4634399,62211
t1282,11.27236,2581.807,738.5341,2581.807,738.5341,379.7991276,423.4549561,63305
t1283,11.55365,3557.137,514.0355,3557.137,514.0355,378.17505,659.2854614,64548
t1284,10.90799,3958.766,301.9463,3958.766,301.9463,376.5509725,791.4919434,65319
t1285,10.5173,4481.28,0,4481.28,0,374.9268949,539.0635376,64691
t1286,11.69917,3826.62,150.0324,3826.62,150.0324,372.0307946,556.2109985,64152
t1287,11.10638,3234.469,0,3234.469,0,369.1346943,683.6509399,62714
t1288,11.53196,2918.075,378.2872,2918.075,378.2872,366.2385941,469.9905701,60898
t1289,12.25576,1698.572,892.576,1698.572,892.576,364.0514016,346.2526245,59625
t1290,11.91818,693.6019,2351.87,693.6019,2351.87,361.8641794,508.8207703,59975
t1291,12.08331,331.8978,1208.712,331.8978,1208.712,359.6769869,488.5378113,62464
t1292,13.93158,0,0,0,0,358.7967753,347.524292,61328
t1293,14.90083,0,248.5192,0,248.5192,357.9165339,487.2171021,57796
t1294,14.51725,0,358.6699,0,358.6699,357.0362926,706.4176025,54991
t1295,12.46283,0,263.4349,0,263.4349,355.9682071,398.9978333,52766
t1296,10.36047,0,0,0,0,354.9001217,672.7636108,48642
t1297,10.00028,0,196.4719,0,196.4719,353.8320363,760.453125,45918
t1298,9.780932,0,778.1399,0,778.1399,355.6980789,840.4746094,44234
t1299,9.68557,0,547.7076,0,547.7076,357.5640917,980.3768921,43674
t1300,9.615036,0,679.7551,0,679.7551,359.3351841,1034.859009,43930
t1301,9.72417,0,1571.852,0,1571.852,364.6483719,774.2973022,44748
t1302,10.21152,0,1026.566,0,1026.566,369.8666394,790.7628174,47592
t1303,10.37949,0,733.8611,0,733.8611,375.084877,1093.33606,54333
t1304,11.63414,602.1024,216.9341,602.1024,216.9341,381.5730512,1474.782104,58967
t1305,11.75421,1864.858,153.8581,1864.858,153.8581,388.0611956,2035.730713,60990
t1306,12.01245,2622.117,0,2622.117,0,394.5493698,3220.749512,62042
t1307,11.7366,3519.616,0,3519.616,0,428.6826849,2858.345703,63031
t1308,11.40095,3585.797,410.588,3585.797,410.588,456.9839537,3437.509277,64188
t1309,11.89539,4124.631,889.2795,4124.631,889.2795,476.069212,3752.126221,63437
t1310,11.60414,4139.285,1159.044,4139.285,1159.044,474.467665,3220.275879,63068
t1311,12.43201,4165.415,3170.263,4165.415,3170.263,472.866118,2258.597168,61777
t1312,12.71886,3682.999,3886.034,3682.999,3886.034,471.264571,2207.164307,60248
t1313,11.87625,2808.863,4245.567,2808.863,4245.567,474.0703702,2795.844238,58653
t1314,11.86431,1365.036,4500,1365.036,4500,476.8761396,2909.847412,59123
t1315,13.7253,390.9842,3407.589,390.9842,3407.589,479.6819091,2714.224609,62302
t1316,13.88487,0,4500,0,4500,479.3313742,2514.903809,61411
t1317,12.97182,0,3944.565,0,3944.565,478.9808095,2419.84668,57612
t1318,12.33137,0,2085.472,0,2085.472,478.6146879,2212.9021,54855
t1319,11.37861,0,1547.434,0,1547.434,477.0614505,1813.014038,52859
t1320,10.6694,0,2084.971,0,2084.971,475.4926264,1596.006958,48667
t1321,10.1244,0,1384.483,0,1384.483,473.9238024,1560.212158,45629
t1322,9.886828,0,2276.141,0,2276.141,466.663301,1643.941772,43892
t1323,9.76477,0,2753.008,0,2753.008,458.8200748,1646.86084,43179
t1324,10.10623,0,3213.481,0,3213.481,450.9768784,1520.842529,43271
t1325,10.31792,0,1320.418,0,1320.418,446.6179013,1364.236084,44281
t1326,10.49686,0,902.8604,0,902.8604,442.2588944,1385.145874,47094
t1327,10.69747,0,3128.838,0,3128.838,437.8999174,1548.6073,53652
t1328,11.82268,603.689,4363.768,603.689,4363.768,434.4537854,1671.123657,58182
t1329,12.75075,1790.09,2464.763,1790.09,2464.763,431.0076833,1782.78894,59823
t1330,12.29978,2740.53,4430.262,2740.53,4430.262,427.5615513,1929.721069,59430
t1331,11.73894,3458.054,915.7058,3458.054,915.7058,428.8547635,1864.548218,60314
t1332,10.93611,3834.863,1393.551,3834.863,1393.551,430.1479459,2253.538574,61605
t1333,11.41888,4528.073,1685.868,4528.073,1685.868,431.4155281,2486.0354,61237
t1334,12.54428,4130.06,705.0259,4130.06,705.0259,425.5860448,2470.095459,60426
t1335,14.16069,3625.373,1616.783,3625.373,1616.783,419.7309315,2491.260742,59436
t1336,13.48565,3390.629,891.2016,3390.629,891.2016,413.8758183,2521.198242,58468
t1337,12.36944,2247.136,0,2247.136,0,414.0297174,2815.925293,57267
t1338,11.86312,1200.578,225.0415,1200.578,225.0415,414.1836464,2963.634033,58134
t1339,13.09414,297.7293,268.8451,297.7293,268.8451,414.3375754,2975.912842,61719
t1340,14.41709,0,0,0,0,416.2431657,3152.98584,60979
t1341,13.81596,0,117.8031,0,117.8031,418.1487858,3167.531006,57412
t1342,12.54688,0,0,0,0,420.0543761,3056.539307,54711
t1343,11.67472,0,195.2436,0,195.2436,416.5297151,2625.342529,52392
t1344,10.80184,0,556.5916,0,556.5916,413.005054,2294.756104,48416
t1345,10.40621,0,871.8352,0,871.8352,409.4803929,2116.688721,45160
t1346,10.12258,0,1392.972,0,1392.972,405.294925,1975.267822,43486
t1347,9.897278,0,2129.069,0,2129.069,401.109457,1721.050049,42707
t1348,9.719959,0,212.0739,0,212.0739,396.9239891,1428.84668,42918
t1349,9.741892,0,0,0,0,396.8299627,1111.812256,43905
t1350,9.51073,0,240.1594,0,240.1594,396.7359662,1080.547241,46764
t1351,9.305774,0,692.4558,0,692.4558,396.6419399,1392.185791,54023
t1352,8.838861,533.062,1857.75,533.062,1857.75,399.7963965,2139.603271,58497
t1353,9.308858,1121.413,2317.901,1121.413,2317.901,402.9508531,2914.283691,59907
t1354,10.13077,2311.571,3448.549,2311.571,3448.549,406.1053097,3111.349365,60141
t1355,9.264345,2221.166,539.4601,2221.166,539.4601,397.5312114,3044.543457,60697
t1356,9.11054,2933.989,346.5447,2933.989,346.5447,389.308244,2381.36377,61263
t1357,9.661392,2787.559,1631.668,2787.559,1631.668,381.3563585,1921.217896,61911
t1358,10.76922,2583.226,315.8808,2583.226,315.8808,374.1518557,1726.848267,62101
t1359,10.72062,2422.839,1357.575,2422.839,1357.575,366.9473529,1695.066772,61273
t1360,10.39856,1769.661,537.076,1769.661,537.076,359.7428501,1724.151611,60070
t1361,10.36047,1158.394,4159.393,1158.394,4159.393,358.6530685,1507.900757,58759
t1362,11.01593,396.273,2047.75,396.273,2047.75,357.563287,1314.049927,58860
t1363,13.12325,225.8745,1831.739,225.8745,1831.739,356.4734757,1241.973145,61635
