,demand_R1,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,demand_R2
t7114,8.803166,2674.903,4500,2674.903,4500,280.1866829,3287.233398,48897
t7115,8.848527,3135.967,4500,3135.967,4500,272.1498907,2634.242676,50324
t7116,8.755628,2542.413,1749.564,2542.413,1749.564,257.9272091,2328.217041,51139
t7117,8.530354,2928.034,3463.489,2928.034,3463.489,250.1139343,2605.447021,50610
t7118,8.624294,2017.615,3266.762,2017.615,3266.762,250.6510019,3505.500977,48452
t7119,8.476773,2725.355,1958.668,2725.355,1958.668,251.1693239,3560.926514,46719
t7120,8.54308,1930.717,170.7386,1930.717,170.7386,251.2995601,3251.871094,46116
t7121,8.786802,995.6902,1104.423,995.6902,1104.423,252.6557148,3322.43042,45805
t7122,8.696026,557.6848,1184.47,557.6848,1184.47,253.7328899,3462.987061,46840
t7123,9.221786,37.16715,777.7471,37.16715,777.7471,255.6954026,2838.44751,49987
t7124,9.639814,0,617.7989,0,617.7989,255.5573881,2601.880371,50232
t7125,9.662223,0,2356.103,0,2356.103,255.4193437,2617.05249,47240
t7126,9.199908,0,2010.926,0,2010.926,255.2812994,2556.348389,44714
t7127,8.59508,0,2775.906,0,2775.906,257.4017346,2707.036621,43425
t7128,8.162108,0,4500,0,4500,259.5221698,2586.179932,40390
t7129,7.869154,0,2254.271,0,2254.271,261.6426051,2349.079102,37209
t7130,7.631762,0,3038.741,0,3038.741,260.1410747,2252.31958,35134
t7131,7.783199,0,4500,0,4500,258.6395442,2247.46582,33722
t7132,7.649333,0,4500,0,4500,257.1380138,2325.384766,33517
t7133,7.51565,0,4344.412,0,4344.412,255.1847994,2418.371582,33932
t7134,7.590913,0,4435.603,0,4435.603,253.231585,2578.796143,34587
t7135,7.708601,176.1705,4500,176.1705,4500,251.1630058,2432.644043,34711
t7136,7.748362,721.2347,4500,721.2347,4500,248.5382408,2256.378662,36482
t7137,8.395767,1569.626,4500,1569.626,4500,245.9134758,2261.134277,39403
t7138,8.152444,2313.614,4500,2313.614,4500,243.2887107,2875.943848,42356
t7139,8.787481,3352.711,4500,3352.711,4500,241.446957,2693.157471,44701
t7140,8.532896,2259.133,4500,2259.133,4500,240.4063642,2484.54248,46674
t7141,8.028374,2971.359,4500,2971.359,4500,239.3657714,2406.954346,46015
t7142,9.20744,3596.693,4500,3596.693,4500,236.5488857,2944.026611,43768
t7143,8.897914,3430.777,4500,3430.777,4500,233.7319851,3281.715088,42806
t7144,8.956432,2237.806,4500,2237.806,4500,230.9150845,3457.939453,41926
t7145,8.992096,1474.813,4500,1474.813,4500,226.5249789,3749.453613,43051
t7146,8.541168,691.0284,4500,691.0284,4500,222.0491469,3842.409424,46072
t7147,9.045451,100.9892,4500,100.9892,4500,217.5733149,3622.462646,48045
t7148,10.33395,0,4500,0,4500,215.2853906,3117.539551,47593
t7149,10.40239,0,4333.869,0,4333.869,212.9974514,3093.398193,45580
t7150,9.639814,0,2342.549,0,2342.549,210.7095122,3234.345703,43806
t7151,9.090688,0,240.6663,0,240.6663,208.6271197,3117.346191,42382
t7152,8.352646,0,236.6684,0,236.6684,206.6742778,2803.580078,39565
t7153,7.990446,0,0,0,0,204.7214359,2613.647461,37402
t7154,7.830683,0,0,0,0,203.0457109,2237.300781,36037
t7155,7.802801,0,756.1257,0,756.1257,201.3699859,1899.746216,35680
t7156,7.768214,0,545.4359,0,545.4359,199.694261,1954.416382,32211
t7157,7.633182,0,591.7815,0,591.7815,197.2770244,2037.493652,38537
t7158,7.724239,0,869.0358,0,869.0358,194.8597878,2223.20459,42776
t7159,7.645523,187.7939,264.4942,187.7939,264.4942,192.4425513,2410.223633,51466
t7160,7.543838,887.5735,413.279,887.5735,413.279,191.5012747,2675.094727,56556
t7161,7.895615,1604.392,207.1043,1604.392,207.1043,190.5599833,2841.579346,58700
t7162,8.20683,2408.998,1131.792,2408.998,1131.792,189.6187067,3056.181885,59194
t7163,8.207407,3377.365,381.3879,3377.365,381.3879,189.6664351,2824.928223,59911
t7164,8.14564,3731.73,590.8871,3731.73,590.8871,189.7141784,2678.738281,60494
t7165,8.102329,3735.293,1389.872,3735.293,1389.872,189.7619069,2435.973145,59794
t7166,8.580239,2490.979,1454.128,2490.979,1454.128,190.6013191,2031.423584,58817
t7167,8.454324,2386.707,3017.298,2386.707,3017.298,191.6340292,1730.35022,57702
t7168,8.36898,1826.732,2051.762,1826.732,2051.762,192.3769414,1593.140869,57113
t7169,8.345412,1296.469,1867.753,1296.469,1867.753,194.5006996,1543.317505,56364
t7170,8.228264,840.072,4500,840.072,4500,196.6244578,1563.662964,60017
t7171,8.438818,77.07682,4500,77.07682,4500,198.748216,1669.179443,61779
t7172,9.918241,0,4361.823,0,4361.823,200.7940114,1794.223389,60346
t7173,10.07188,0,3516.406,0,3516.406,202.8623372,1880.011841,56451
t7174,9.378036,0,946.1089,0,946.1089,204.9667835,1675.244019,52871
t7175,8.760355,0,802.7668,0,802.7668,206.7233771,1449.894531,50068
t7176,8.242243,0,432.8177,0,432.8177,208.4799856,1448.26123,45804
t7177,7.939205,0,207.8483,0,207.8483,210.2365941,1530.412231,42813
t7178,7.92706,0,510.8497,0,510.8497,211.9835019,1631.703613,41384
t7179,7.732092,0,593.6852,0,593.6852,213.7303948,1737.606567,40394
t7180,7.61196,0,458.81,0,458.81,215.4773027,1866.184937,41178
t7181,7.58905,0,432.3072,0,432.3072,219.1361487,1955.022949,42750
t7182,7.517007,0,632.4357,0,632.4357,223.1710851,2083.516602,46327
t7183,7.656012,164.5764,323.7871,164.5764,323.7871,228.0625105,2140.012451,53398
t7184,7.749846,852.3283,0,852.3283,0,239.0424162,2146.42749,58345
t7185,7.874323,2055.883,0,2055.883,0,241.0842329,2076.595459,59930
t7186,8.286911,2685.915,253.3275,2685.915,253.3275,236.096099,2170.30957,60120
t7187,8.082285,2829.365,2426.273,2829.365,2426.273,240.1143759,2002.289185,60825
t7188,7.822035,3834.61,4500,3834.61,4500,244.1249937,2165.411377,61648
t7189,7.928114,2544.292,4500,2544.292,4500,248.1355965,2166.633301,60780
t7190,8.310069,3180.274,4500,3180.274,4500,250.702858,2328.685303,60117
t7191,8.509456,2720.951,4500,2720.951,4500,253.2701492,2493.363037,59139
t7192,8.530989,2918.227,4500,2918.227,4500,255.8374107,2503.411621,58283
t7193,8.520207,1770.141,4500,1770.141,4500,257.8287721,2419.448242,57714
